label,name
mn0000332141,Jerry Lee Lewis
mn0000038936,Simon & Garfunkel
mn0000567570,Thompson Twins
mn0000116178,Culture Club
mn0000648106,Justice
mn0000482787,The Whispers
mn0000135273,"Earth, Wind & Fire"
mn0000953158,Heavenly
mn0000293896,Rod Stewart
mn0000040312,Steve Marriott
mn0000049797,Steven Tyler
mn0000892823,Mick Jagger
mn0000830538,Robert Plant
mn0000176859,Joe Zawinul
mn0000110541,Chick Corea
mn0000065882,Bob James
mn0000957296,Herbie Hancock
mn0000824432,José Roberto Bertrami
mn0000536122,George Duke
mn0000212614,Deodato
mn0000601833,Arnaldo DeSouteiro
mn0000277012,Hugo Fattoruso
mn0000103453,"DJ Michael ""5000"" Watts"
mn0000662235,DJ Screw
mn0000174035,Carl Craig
mn0000587631,Moodymann
mn0000595211,PFM
mn0000685647,Yes
mn0000758601,Blossom Dearie
mn0000327765,John Barry
mn0000254215,Wilco
mn0000560208,Harry Nilsson
mn0000776659,Israel Vibration
mn0000085448,The Heptones
mn0000295276,Jimmy Cliff
mn0000242861,Dennis Brown
mn0000328014,Peter Tosh
mn0000641994,Burning Spear
mn0000071514,Bob Marley
mn0000790988,Toots & the Maytals
mn0000856785,Public Enemy
mn0000477523,Mighty Sparrow
mn0000671588,Mantronix
mn0000852698,Poor Righteous Teachers
mn0000831215,Saint Etienne
mn0000254972,Julee Cruise
mn0000279337,Sade
mn0000868306,Nico
mn0000795288,Pierre Boulez
mn0001528006,Olivier Messiaen
mn0000300583,Junior Brown
mn0000944310,George Jones
mn0000034249,Steve Earle
mn0000094205,Chet Atkins
mn0000410219,Merle Haggard
mn0000062758,The Flatlanders
mn0000320761,Ricky Skaggs
mn0000941579,Buck Owens
mn0000820232,Dick Dale
mn0000786613,Dead Kennedys
mn0000109735,Circle Jerks
mn0000890559,The Olivia Tremor Control
mn0000051376,The Fall
mn0000026023,The Apples in Stereo
mn0000848034,Jim Croce
mn0000517264,Tom Rush
mn0000074134,Ian & Sylvia
mn0000667794,Gordon Lightfoot
mn0000577531,Woody Guthrie
mn0000934721,Tom Paxton
mn0000814852,John Sebastian
mn0000799233,Eric Andersen
mn0000620495,The Breeders
mn0000808944,Jawbreaker
mn0000034172,Superchunk
mn0000482677,The Lemonheads
mn0000639053,Hüsker Dü
mn0000172582,Franz Ferdinand
mn0000790732,Squeeze
mn0000339713,Fire Engines
mn0000308645,Pulp
mn0000478426,Orange Juice
mn0000672910,Wire
mn0000266534,Josef K
mn0000009084,Sparks
mn0000128440,Duran Duran
mn0000654490,Guitar Slim
mn0000781837,Antônio Carlos Jobim
mn0000931086,Astrud Gilberto
mn0000334193,New Order
mn0000245992,Johnny Smith
mn0000781260,Chuck Wayne
mn0000069127,Billy Bauer
mn0000136220,Django Reinhardt
mn0000074340,Jimmy Raney
mn0000790227,Tal Farlow
mn0000777429,Conjunto Primavera
mn0000555695,Gipsy Kings
mn0000620603,Edwyn Collins
mn0000071812,The Four Tops
mn0000645474,David Essex
mn0000803720,Gene Vincent
mn0000059156,B.B. King
mn0000329036,Ronnie Earl & the Broadcasters
mn0000300534,Little Milton
mn0000370703,Keb' Mo'
mn0000844950,Ronnie Earl
mn0000826290,Hound Dog Taylor & the Houserockers
mn0000799053,Donovan
mn0000487186,Suicide
mn0000838241,Van Dyke Parks
mn0000288911,Jim Martin
mn0000007040,Tony Iommi
mn0000771438,Black Sabbath
mn0000346336,Pink Floyd
mn0000390477,New Kids on the Block
mn0000673486,Marc Anthony
mn0000888730,Odetta
mn0000054707,Bessie Smith
mn0000266160,Pete Seeger
mn0000051910,The Carter Family
mn0000832288,Robert Johnson
mn0000013511,Sister Rosetta Tharpe
mn0000828153,Josh White
mn0000017137,Skip James
mn0000096613,Bonnie Raitt
mn0000958533,Dave Brubeck
mn0000424019,Mississippi John Hurt
mn0000806542,Etta James
mn0000158835,Furry Lewis
mn0000942529,Buddy Guy
mn0000527379,Bukka White
mn0000753094,Son House
mn0000211758,Charlie Parker
mn0000863413,Negativland
mn0000579035,Sun City Girls
mn0001924241,Tuomari Nurmio
mn0000607804,Alan Lomax
mn0000988638,Captain Beefheart
mn0000611007,Todd Edwards
mn0000174186,Farley Jackmaster Funk
mn0000518313,Todd Terry
mn0000008655,Tony Humphries
mn0000663298,Happy the Man
mn0000074926,Coachwhips
mn0000800193,Erase Errata
mn0000233066,Lou Reed
mn0000106951,Jackie Martling
mn0000131581,"Crosby, Stills & Nash"
mn0000639005,George Carlin
mn0000193606,Don Rickles
mn0000817628,Lenny Bruce
mn0000106298,Cheech & Chong
mn0000245292,Rodney Dangerfield
mn0000139908,The Cult
mn0000572737,Helmet
mn0002124442,Cory Wong
mn0000102399,Larry Carlton
mn0000023123,"Paul Jackson, Jr."
mn0000233080,David Williams
mn0000931105,Agnostic Front
mn0000781766,Cro-Mags
mn0000040879,Angélique Kidjo
mn0000830319,Hugh Masekela
mn0000295756,Santana
mn0000674011,Manu Dibango
mn0000771297,King Sunny Ade
mn0000742990,Tony Allen
mn0000832281,Salif Keita
mn0000138833,Fela Kuti
mn0000496097,Miriam Makeba
mn0000243418,Wayne Hancock
mn0000549797,Hank Williams
mn0000163198,Carl Smith
mn0000198901,Webb Pierce
mn0000409954,Ray Price
mn0000084053,The Jam
mn0000086423,Jan DeGaetani
mn0000249973,Devo
mn0000838272,Pere Ubu
mn0000555654,Half Japanese
mn0000959770,Willie Dixon
mn0000741718,P.M. Dawn
mn0000187581,Funkadelic
mn0000953447,Heavy D & the Boyz
mn0000303833,Saturday Looks Good to Me
mn0000279141,Ritchie Valens
mn0000818702,Grizzly Bear
mn0000204386,James Taylor
mn0000046861,Ray Charles
mn0000813946,Deftones
mn0000112789,Korn
mn0000315339,Queensrÿche
mn0000825251,Marilyn Manson
mn0000750742,Slipknot
mn0000235169,Rob Zombie
mn0000137173,Joan Jett
mn0000210991,Destiny's Child
mn0000761179,Beyoncé
mn0000376204,Mary J. Blige
mn0000007689,TLC
mn0000058372,Faces
mn0000182598,MC5
mn0000536275,Sweet
mn0000841141,Velocity Girl
mn0000036521,The Smashing Pumpkins
mn0000029067,The Action
mn0000423267,Small Faces
mn0000212131,Ride
mn0000490004,Ramones
mn0000215041,The Jon Spencer Blues Explosion
mn0000464450,Old Skull
mn0000928153,Giacomo Puccini
mn0000394449,Michael Hurley
mn0000741431,Fu-Schnickens
mn0000820545,Whodini
mn0000624518,Treacherous Three
mn0000126771,Leaders of the New School
mn0000194875,Del the Funky Homosapien
mn0000181299,Ultramagnetic MC's
mn0000107294,Biz Markie
mn0000747243,Trouble
mn0000192382,Deep Purple
mn0000590479,Thin Lizzy
mn0000177060,Janis Joplin
mn0000305468,Lita Ford
mn0000044874,Syd Barrett
mn0000585249,Annie Lennox
mn0000182900,Fleetwood Mac
mn0000289685,Robyn
mn0000748713,Slick Rick
mn0000004852,Selena
mn0001183609,Michael Tippett
mn0000364751,Igor Stravinsky
mn0000536126,Ludwig van Beethoven
mn0000765302,Badly Drawn Boy
mn0000026193,Andrew Bird
mn0000163570,Ben Lee
mn0000840523,Sebadoh
mn0000812711,Death Cab for Cutie
mn0000043548,Super Furry Animals
mn0000162197,Ben Folds
mn0000620056,Bright Eyes
mn0000771010,The Left Banke
mn0000515072,Braid
mn0000790616,Squirrel Bait
mn0000798606,Fugazi
mn0000282800,Rites of Spring
mn0000090794,Ignition
mn0000182866,Embrace
mn0000510639,Articles of Faith
mn0000178906,Jawbox
mn0000482426,One Last Wish
mn0000155068,The Green Pajamas
mn0000130689,Jackson Browne
mn0000170815,Fred Neil
mn0000373634,Nas
mn0000456134,Redman
mn0000158801,Talib Kweli
mn0000383284,Masters at Work
mn0000495702,The Salsoul Orchestra
mn0000287259,Saint Vitus
mn0000474482,Minutemen
mn0000059537,Blue Cheer
mn0000600640,Tindersticks
mn0000008549,Sparklehorse
mn0000075264,Bad Brains
mn0000422947,Minor Threat
mn0000237205,Madonna
mn0000855423,Kate Bush
mn0000895443,The Human League
mn0000746387,Tracy Lawrence
mn0000515628,Tom T. Hall
mn0000200791,Waylon Jennings
mn0000251375,Johnny Paycheck
mn0000944084,George Strait
mn0000583959,Willie Nelson
mn0000664378,Glen Campbell
mn0000066429,Bobby Bare
mn0000647670,Gerald Albright
mn0000944206,"Grover Washington, Jr."
mn0000298327,Los Brincos
mn0000184267,U.K. Subs
mn0000138520,The Damned
mn0000755312,Sid Vicious
mn0000199240,G.G. Allin
mn0000793848,Faithless
mn0000122096,Sub Focus
mn0000477116,Moby
mn0000805274,Dr. Dre
mn0000252509,Leon Haywood
mn0000179465,The Egyptian Lover
mn0000929862,Afrika Bambaataa
mn0000772127,Boogie Down Productions
mn0000533117,George Clinton
mn0000596451,Zapp
mn0001052511,Too $hort
mn0000944349,Cameo
mn0000390390,Ohio Players
mn0000840561,Schoolly D
mn0000072003,Ice-T
mn0000856640,Puff Daddy
mn0000138112,EPMD
mn0000096878,Kid 'N Play
mn0000799198,Eric B. & Rakim
mn0000359119,KRS-One
